target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1507.38	71	3.36452
AT1G01020.1	1623	1442.38	79.1228	3.91841
AT1G01020.2	1085	904.376	19.8772	1.56997
AT1G01030.1	1905	1724.38	65	2.69257
AT1G01040.1	6251	6070.38	211.002	2.48289
AT1G01040.2	5877	5696.38	60.9976	0.764893
AT1G01050.1	976	795.376	357	32.0614
AT1G01060.3	2517	2336.38	3.80399	0.116301
AT1G01060.2	2814	2633.38	350.884	9.51782
AT1G01060.4	2641	2460.38	1097.31	31.8577
AT1G01060.1	2704	2523.38	449.947	12.7369
AT1G01060.5	2722	2541.38	4.05566	0.113993
AT1G01070.2	1433	1252.38	0	0
AT1G01070.1	1311	1130.38	33	2.08534
AT1G01073.1	111	32.0632	0	0
AT1G01080.1	1319	1138.38	356.86	22.3923
AT1G01080.2	1322	1141.38	320.14	20.0354
AT1G01090.1	1627	1446.38	4348	214.731
AT1G01100.2	631	450.811	3232.28	512.154
AT1G01100.1	587	407.026	1.64223	0.288202
AT1G01100.4	607	426.885	0	0
AT1G01100.3	566	386.06	0	0
AT1G01110.2	1782	1601.38	32	1.42739
AT1G01110.1	1439	1258.38	0	0
AT1G01115.1	117	34.5456	0	0
AT1G01120.1	1899	1718.38	1132	47.0559
AT1G01130.1	375	201.218	300	106.498
AT1G01140.1	1689	1508.38	820	38.8321
AT1G01140.2	1694	1513.38	0	0
AT1G01140.3	1700	1519.38	0	0
AT1G01150.1	1178	997.376	7	0.501332
AT1G01160.1	1045	864.376	326.022	26.9421
AT1G01160.2	1129	948.376	5.97755	0.450224
AT1G01170.2	503	323.556	10.3729	2.29
AT1G01170.1	515	335.416	537.627	114.494
AT1G01180.1	1176	995.376	23	1.65054
AT1G01190.1	1608	1427.38	25	1.25109
AT1G01200.1	982	801.376	0	0
AT1G01210.1	616	435.849	18	2.95001
AT1G01220.1	3532	3351.38	203	4.32672
AT1G01225.1	1025	844.376	154	13.0278
AT1G01230.1	832	651.491	224	24.5599
AT1G01240.3	1941	1760.38	110.802	4.49601
AT1G01240.1	1288	1107.38	69.1269	4.45901
AT1G01240.2	1368	1187.38	518.071	31.1665
AT1G01250.1	840	659.491	329	35.6347
AT1G01260.3	2577	2396.38	34.2439	1.02074
AT1G01260.1	2578	2397.38	0	0
AT1G01260.2	2378	2197.38	401.756	13.06
AT1G01280.1	1602	1421.38	0	0
AT1G01290.1	1079	898.376	44.4486	3.53416
AT1G01290.2	1017	836.376	106.551	9.10005
AT1G01300.1	1822	1641.38	3253	141.567
AT1G01305.1	601	420.921	17	2.88492
AT1G01310.1	977	796.376	22	1.97329
AT1G01320.2	6049	5868.38	152.414	1.85521
AT1G01320.1	6015	5834.38	681.586	8.34473
AT1G01340.1	2411	2230.38	0.0648907	0.00207822
AT1G01340.2	2397	2216.38	82.9351	2.67289
AT1G01350.1	1400	1219.38	206.696	12.1082
AT1G01355.1	687	506.692	16	2.2556
AT1G01360.1	1000	819.376	62	5.40499
AT1G01370.1	909	728.376	2.63994	0.258896
AT1G01370.2	879	698.376	11.3601	1.16192
AT1G01380.1	568	388.06	30	5.52215
AT1G01390.1	1687	1506.38	23	1.09064
AT1G01400.1	1145	964.376	0	0
AT1G01410.1	1086	905.376	0	0
AT1G01420.1	1520	1339.38	15	0.799972
AT1G01430.1	1642	1461.38	146	7.13637
AT1G01440.1	2221	2040.38	104	3.6409
AT1G01450.1	1413	1232.38	1208	70.018
AT1G01453.1	1112	931.376	0	0
AT1G01453.2	1225	1044.38	0	0
AT1G01460.1	1452	1271.38	12	0.674207
AT1G01470.1	727	546.692	2385	311.625
AT1G01471.1	216	84.7403	0	0
AT1G01480.1	1920	1739.38	509.999	20.9441
AT1G01480.2	1735	1554.38	154.001	7.07709
AT1G01490.2	986	805.376	186.326	16.5258
AT1G01490.1	1107	926.376	1020.67	78.702
AT1G01500.1	1461	1280.38	99	5.52311
AT1G01510.1	2155	1974.38	183	6.62075
AT1G01520.1	864	683.376	10	1.04526
AT1G01530.1	752	571.596	3	0.374902
AT1G01540.2	1920	1739.38	368.11	15.1172
AT1G01540.1	1908	1727.38	32.8896	1.36006
AT1G01550.1	1460	1279.38	387.423	21.6308
AT1G01550.2	1434	1253.38	3341.58	190.439
AT1G01560.2	1319	1138.38	67.0051	4.20444
AT1G01560.1	1710	1529.38	35.9949	1.68117
