target_id	length	eff_length	est_counts	tpm
FBtr0300689	1880	1700.69	269.115	3.20961
FBtr0300690	1802	1622.69	1.02153e-06	1.27689e-08
FBtr0330654	1844	1664.69	18.4165	0.224395
FBtr0078170	5248	5068.69	1276.61	5.10858
FBtr0078171	5391	5211.69	748.959	2.91487
FBtr0078166	5155	4975.69	321.784	1.31175
FBtr0078167	5230	5050.69	5.87568e-08	2.35965e-10
FBtr0078168	5225	5045.69	35.4925	0.142677
FBtr0078169	5082	4902.69	210.844	0.872301
FBtr0306589	5315	5135.69	15.4859	0.0611614
FBtr0306590	5179	4999.69	832.79	3.37856
FBtr0306591	5390	5210.69	2121.63	8.25875
FBtr0306592	5528	5348.69	273.407	1.03681
FBtr0330655	5281	5101.69	0	0
FBtr0113008	2629	2449.69	59.7303	0.494565
FBtr0309810	2230	2050.69	69.2697	0.685146
FBtr0078163	4350	4170.69	0	0
FBtr0078164	7227	7047.69	473.851	1.36375
FBtr0113416	4347	4167.69	139.599	0.679401
FBtr0309225	6150	5970.69	41.3787	0.14057
FBtr0309227	3917	3737.69	74.7007	0.405379
FBtr0309228	7266	7086.69	77.218	0.221011
FBtr0309229	7005	6825.69	108.703	0.323022
FBtr0309226	6583	6403.69	220.55	0.69858
FBtr0306539	4051	3871.69	64.0149	0.335367
FBtr0306536	3731	3551.69	709.988	4.05467
FBtr0306538	3454	3274.69	712.173	4.41118
FBtr0078100	4040	3860.69	16.479	0.0865777
FBtr0306537	3789	3609.69	137.345	0.771762
FBtr0306540	1430	1250.69	497.87	8.07432
FBtr0078101	1841	1661.69	1377.61	16.8158
FBtr0302164	1458	1278.69	660.567	10.4783
FBtr0331680	1536	1356.69	510.069	7.62585
FBtr0301733	1694	1514.69	171.881	2.30167
FBtr0306541	1378	1198.69	45	0.761458
FBtr0290323	2225	2045.69	43.6026	0.432327
FBtr0330637	1662	1482.69	310.397	4.24627
FBtr0078103	6476	6296.69	2744	8.83916
FBtr0078104	1583	1403.69	1155.58	16.6982
FBtr0330636	1221	1041.69	48.4172	0.94276
FBtr0301452	2551	2371.69	1722	14.727
FBtr0089437	2387	2207.69	46.69	0.428969
FBtr0308091	961	781.688	262.725	6.81722
FBtr0089428	2406	2226.69	542.252	4.93948
FBtr0089429	2293	2113.69	2455.75	23.5658
FBtr0330656	2298	2118.69	41.7358	0.399559
FBtr0089430	2383	2203.69	928.412	8.54536
FBtr0089431	2383	2203.69	1.74854e-07	1.6094e-09
FBtr0089432	2508	2328.69	90.5682	0.788867
FBtr0089433	2353	2173.69	536.663	5.00776
FBtr0089434	2429	2249.69	558.179	5.03258
FBtr0089435	2309	2129.69	2429.84	23.142
FBtr0089436	1957	1777.69	48.1828	0.549764
FBtr0306542	657	477.722	15.9208	0.675971
