target_id	length	eff_length	est_counts	tpm
Y74C9A.3.1.rna	889	725.69	13.32	0.200992
Y74C9A.3.2.rna	891	727.69	1343.68	20.2197
Y74C9A.2.5.rna	825	661.69	263.935	4.36784
Y74C9A.2.2.rna	554	390.705	35.0781	0.983134
Y74C9A.2.1.rna	715	551.69	2094.6	41.575
Y74C9A.2.3.rna	711	547.69	0	0
Y74C9A.2.6.rna	704	540.69	26.4466	0.535608
Y74C9A.2.4.rna	652	488.705	6271.94	140.534
Y74C9A.4b.rna	2123	1959.69	105.555	0.589818
Y74C9A.4a.rna	2117	1953.69	869.445	4.87317
Y74C9A.5.2.rna	2110	1946.69	1972.76	11.0969
Y74C9A.5.1.rna	1886	1722.69	725.238	4.60998
Y74C9A.7.rna	21	10.7059	0	0
Y74C9A.8.rna	21	10.7059	0	0
Y74C9A.1.rna	732	568.69	12	0.231063
Y48G1C.12.rna	1054	890.69	952	11.704
Y48G1C.4.rna	1409	1245.69	750	6.5929
Y48G1C.5.rna	3507	3343.69	3	0.00982473
Y48G1C.2.1.rna	2504	2340.69	2661.44	12.4508
Y48G1C.2.2.rna	2169	2005.69	188.561	1.02947
Y48G1C.10.rna	1254	1090.69	457	4.58818
Y48G1C.6.rna	734	570.69	240	4.60507
Y48G1C.11.rna	1549	1385.69	571	4.51227
Y48G1C.9.1.rna	411	247.737	787.223	34.7963
Y48G1C.9.2.rna	546	382.717	2.77708	0.0794578
Y48G1C.1.rna	1593	1429.69	330	2.52754
Y48G1C.13.rna	292	128.758	7	0.595318
Y48G1C.7.rna	2163	1999.69	1714	9.38585
Y48G1C.8.rna	3091	2927.69	1209	4.52196
F53G12.1.2.rna	1228	1064.69	12139.1	124.85
F53G12.1.1.rna	1248	1084.69	13767.9	138.991
F53G12.16.rna	221	57.9429	3	0.566952
F53G12.15.rna	149	20.8663	0	0
F53G12.10.3.rna	835	671.69	28223.4	460.115
F53G12.10.1.rna	833	669.69	1.09661e-05	1.79309e-07
F53G12.10.2.rna	798	634.69	170069	2934.19
F53G12.17.rna	150	20.4969	22	11.7533
F53G12.9.rna	459	295.728	28	1.03679
F53G12.13.rna	237	73.8144	55	8.15919
F53G12.8.rna	564	400.705	5	0.136638
F53G12.14.rna	21	10.7059	0	0
F53G12.7.rna	1085	921.69	11	0.130687
F53G12.6.rna	1544	1380.69	0	0
F53G12.5b.rna	1815	1651.69	1050.91	6.9673
F53G12.5a.2.rna	1736	1572.69	12.6369	0.0879882
F53G12.5a.1.rna	1732	1568.69	382.448	2.66969
F53G12.4.rna	1120	956.69	32	0.366272
F53G12.3.rna	4512	4348.69	10.4679	0.0263589
F53G12.11.rna	392	228.737	14	0.67022
F56C11.1.rna	4660	4496.69	3528.53	8.59264
F56C11.2.rna	2698	2534.69	2825	12.2045
F56C11.6a.rna	1716	1552.69	1272.65	8.97533
F56C11.6b.rna	1355	1191.69	222.347	2.04312
F56C11.7.rna	60	16.0072	0	0
F56C11.5b.rna	897	733.69	308.149	4.59911
F56C11.5a.rna	1020	856.69	316.851	4.05001
F56C11.3.rna	546	382.717	736	21.0584
F56C11.4.rna	713	549.69	40	0.796833
K10E9.1.rna	4519	4355.69	422	1.06092
Y48G1BL.2.rna	2465	2301.69	627	2.98295
Y48G1BL.7.rna	1025	861.69	151.039	1.91939
Y48G1BL.1.rna	1225	1061.69	8.33383	0.0859552
Y48G1BL.4.rna	240	76.8076	0	0
Y48G1BL.5.rna	489	325.728	39.646	1.33281
Y48G1BL.6.rna	484	320.728	0	0
Y48G1BM.6.rna	3898	3734.69	74.6292	0.218816
Y48G1BM.7.rna	336	172.749	21	1.33116
Y48G1BM.8.rna	432	268.737	13	0.529714
Y48G1BM.1.rna	1279	1115.69	62.7878	0.616251
Y48G1BM.9.rna	840	676.69	441.843	7.14996
Y48G1BR.1.rna	773	609.69	530	9.51902
C53D5.8.rna	21	10.7059	0	0
C53D5.7.rna	21	10.7059	0	0
C53D5.3.rna	222	58.9237	29	5.38931
C53D5.2.rna	946	782.69	247	3.45567
C53D5.4.rna	1357	1193.69	467	4.28401
C53D5.1a.rna	1676	1512.69	798.772	5.78227
C53D5.1b.rna	1641	1477.69	542.434	4.01966
C53D5.1d.rna	1563	1399.69	0	0
C53D5.1c.rna	1524	1360.69	302.794	2.43676
C53D5.5.2.rna	2034	1870.69	26.9572	0.157797
C53D5.5.1.rna	2119	1955.69	3534.04	19.7878
C53D5.6.1.rna	3711	3547.69	2141.24	6.60915
C53D5.6.2.rna	3713	3549.69	31425.8	96.9439
Y48G1A.5.rna	3100	2936.69	4560	17.0033
Y48G1A.4.rna	2704	2540.69	3313	14.2789
Y48G1A.3.rna	1295	1131.69	1337	12.9369
Y48G1A.6b.rna	1975	1811.69	74.821	0.452236
Y48G1A.6a.rna	1986	1822.69	121.179	0.728014
Y48G1A.2.2.rna	717	553.69	44	0.870185
Y48G1A.2.1.rna	729	565.69	0	0
Y48G1A.1.rna	3023	2859.69	933	3.57263
R119.1.rna	2197	2033.69	65	0.349989
R119.7.rna	2277	2113.69	291.132	1.50825
R119.2.rna	1740	1576.69	1430.87	9.93754
R119.3.3.rna	888	724.69	1501.42	22.6869
R119.3.1.rna	890	726.69	1760.9	26.5345
R119.3.2.rna	885	721.69	94.6804	1.4366
R119.4.1.rna	2311	2147.69	4445.5	22.666
R119.4.2.rna	2313	2149.69	30716.5	156.466
R119.6.rna	1985	1821.69	1548.56	9.30851
R119.5a.rna	2092	1928.69	321.155	1.82338
R119.5b.rna	2089	1925.69	641.28	3.64659
